 pbname , star , LMV , SMV , Cash , OTE/Adj ,Today's Movement, Min , NLV , Margin , Excess 
 State Street ,," 46,42,77,409 "," (44,09,71,559)"," 28,70,844 ",, -   ,,," 2,36,29,643 "," 26,09,096 "
 Marex PB ,," 78,31,517 "," (54,35,746)"," 31,94,197 ",,," 50,00,000 "," 55,89,968 "," 40,11,432 "," 5,89,968 "
 Marex FCM ,,,," 2,85,27,834 "," (57,14,896)"," 45,75,000 ",," 2,28,12,938 "," 2,73,77,879 "," 10,059 "
 BAML ,,,,,,,,,,
 CIBC ,, 296 ," (5,539)"," 50,39,198 ", -   ,," 50,00,000 "," 50,33,955 "," 5,120 "," 33,955 "
 TD ,, -   , -   ," 1,74,591 ",,, -   ," 1,74,591 "," 42,591 "," 1,32,000 "
 Fidelity ,," 14,61,04,942 "," (3,17,45,254)"," (7,07,98,365)", -   ," (35,75,000)",," 3,99,86,323 "," 2,66,94,083 "," 97,17,240 "
 FRB EDS 9951 ,,,," 45,60,106 ", -   ," (10,00,000)",," 45,60,106 ",," 35,60,106 "
 FRB EI 3639 ,,,," 8,16,753 ",,,," 8,16,753 ",," 8,16,753 "
 FRB EH 2595 ,,,, V ,, -   ,, -   ,, -   
